95;455;"{""name"":""Blackbird Finch Toro"",""artikul_number"":""555"",""price_per_piece"":""990"",""pieces"":""21"",""package_price"":""207.90"",""status"":""active"",""state"":""new""}";"2020-11-26 11:09:22";555;555;06.11.2019
96;52;"{""name"":""Kafie 1901 Don Fernando Maduro VI Sixty"",""artikul_number"":""64"",""price_per_piece"":""420"",""pieces"":""20"",""package_price"":""84.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:11:55";64;64;17.10.2019
97;156;"{""name"":""San Jeronimo Connecticut Robusto"",""artikul_number"":""168"",""price_per_piece"":""380"",""pieces"":""20"",""package_price"":""76.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:13:51";168;168;17.10.2019
98;163;"{""name"":""Kafie 1901 VI Sixty"",""artikul_number"":""175"",""price_per_piece"":""390"",""pieces"":""20"",""package_price"":""78.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:15:05";175;175;17.10.2019
99;164;"{""name"":""Kafie 1901 San Andres Robusto Largo"",""artikul_number"":""176"",""price_per_piece"":""450"",""pieces"":""20"",""package_price"":""90.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:16:53";176;176;17.10.2019
100;256;"{""name"":""ADVentura The Explorer Short Robusto Bundle"",""artikul_number"":""269"",""price_per_piece"":""680"",""pieces"":""20"",""package_price"":""136.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:17:51";269;269;17.10.2019
101;443;"{""name"":""Brun del Re Pig Year Gran Toro"",""artikul_number"":""543"",""price_per_piece"":""1050"",""pieces"":""8"",""package_price"":""84.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:20:38";543;543;04.10.2019
102;49;"{""name"":""Kafie 1901 Don Fernando Maduro Robusto"",""artikul_number"":""61"",""price_per_piece"":""380"",""pieces"":""20"",""package_price"":""76.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:26:24";61;61;04.10.2019
103;173;"{""name"":""La Regenta Classic La Regenta No.3"",""artikul_number"":""185"",""price_per_piece"":""495"",""pieces"":""10"",""package_price"":""49.50"",""status"":""active"",""state"":""new""}";"2020-11-26 11:33:21";185;185;19.06.2020
104;50;"{""name"":""Kafie 1901 Don Fernando Maduro V Sixty"",""artikul_number"":""62"",""price_per_piece"":""390"",""pieces"":""20"",""package_price"":""78.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:37:51";62;62;04.10.2019
105;51;"{""name"":""Kafie 1901 Don Fernando Mauro Toro Bello"",""artikul_number"":""63"",""price_per_piece"":""410"",""pieces"":""20"",""package_price"":""82.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:39:23";63;63;04.10.2019
106;53;"{""name"":""Kafie 1901 Don Fernando Maduro Torpedo"",""artikul_number"":""65"",""price_per_piece"":""390"",""pieces"":""10"",""package_price"":""39.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:48:47";65;65;04.10.2019
107;84;"{""name"":""Tabacos San Jeronimo Ecuador Conneticut Toro"",""artikul_number"":""96"",""price_per_piece"":""410"",""pieces"":""20"",""package_price"":""82.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:50:49";96;96;04.10.2019
108;85;"{""name"":""Tabacos San Jeronimo Ecuador Connecticut Gordo"",""artikul_number"":""97"",""price_per_piece"":""440"",""pieces"":""20"",""package_price"":""88.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:52:30";97;97;04.10.2019
109;86;"{""name"":""Tabacos San Jeronimo Ecuador Conneticut Churchill"",""artikul_number"":""98"",""price_per_piece"":""430"",""pieces"":""20"",""package_price"":""86.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:53:57";98;98;04.10.2019
110;87;"{""name"":""Tabacos San Jeronimo Ecuador Conneticut Torpedo"",""artikul_number"":""99"",""price_per_piece"":""390"",""pieces"":""20"",""package_price"":""78.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:54:58";99;99;04.10.2019
111;154;"{""name"":""San Jeronimo Classic Robusto"",""artikul_number"":""166"",""price_per_piece"":""380"",""pieces"":""20"",""package_price"":""76.00"",""status"":""active"",""state"":""new""}";"2020-11-26 11:59:39";166;166;04.10.2019
112;155;"{""name"":""San Jeronimo Classic Gordo"",""artikul_number"":""167"",""price_per_piece"":""440"",""pieces"":""20"",""package_price"":""88.00"",""status"":""active"",""state"":""new""}";"2020-11-26 12:01:10";167;167;04.10.2019
113;160;"{""name"":""Kafie 1901 Connecticut Robusto"",""artikul_number"":""172"",""price_per_piece"":""380"",""pieces"":""20"",""package_price"":""76.00"",""status"":""active"",""state"":""new""}";"2020-11-26 12:05:45";172;172;04.10.2019
114;161;"{""name"":""Kafie 1901 Connecticut Churchill"",""artikul_number"":""173"",""price_per_piece"":""430"",""pieces"":""20"",""package_price"":""86.00"",""status"":""active"",""state"":""new""}";"2020-11-26 12:07:57";173;173;04.10.2019
115;162;"{""name"":""Kafie 1901 Sumatra Robusto"",""artikul_number"":""174"",""price_per_piece"":""380"",""pieces"":""20"",""package_price"":""76.00"",""status"":""active"",""state"":""new""}";"2020-11-26 12:09:18";174;174;04.10.2019
